game_id,game_date,home_team,away_team,period,clock,full_clock,team,player,event,x_coordinate,y_coordinate,x_coordinate_adv,y_coordinate_adv,player_2,x_coordinate_2,y_coordinate_2,x_coordinate_adv_2,y_coordinate_adv_2,detail_1,detail_2,detail_3,detail_4,rev_period,home_team_skaters,away_team_skaters,is_5v4,is_fo,is_5on5,is_in_att_zone,whos_attacking,adv_team,skater_adv_segment,play_segment,event_no,starts_with_oz_fo,wont_leave_zone
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1177,1177,Olympic (Women) - Canada,Brianne Jenner,Faceoff Win,169,64,169,64,Yelena Dergachyova,NA,NA,NA,NA,Backhand,NA,NA,NA,1,5,4,TRUE,TRUE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,7,3,1,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1177,2377,Olympic (Women) - United States,Brianna Decker,Faceoff Win,31,21,169,64,Noora Tulus,NA,NA,NA,NA,Forehand,NA,NA,NA,2,5,4,TRUE,TRUE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,1,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1176,2376,Boston Pride,Jillian Dempsey,Faceoff Win,169,21,169,21,Cassidy MacPherson,NA,NA,NA,NA,Backhand,NA,NA,NA,2,4,5,TRUE,TRUE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,1,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1176,2376,Olympic (Women) - United States,Megan Keller,Puck Recovery,27,11,173,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,2,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1175,2375,Boston Pride,McKenna Brand,Puck Recovery,161,27,161,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,2,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1175,2375,Boston Pride,McKenna Brand,Play,161,27,161,27,Mallory Souliotis,136,6,136,6,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,3,TRUE,TRUE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1174,1174,Olympic (Women) - Canada,Brigette Lacquette,Puck Recovery,132,82,132,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,7,3,2,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1173,2373,Olympic (Women) - United States,Megan Keller,Play,4,34,196,51,Lee Stecklein,5,53,195,32,Indirect,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,3,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1172,2372,Toronto Six,Natalie Marcuzzi,Faceoff Win,31,64,169,21,Stephanie Anderson,NA,NA,NA,NA,Forehand,NA,NA,NA,2,4,5,TRUE,TRUE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,1,TRUE,TRUE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1172,1172,Olympic (Women) - Canada,Brigette Lacquette,Play,132,66,132,66,Brianne Jenner,135,18,135,18,Direct,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,7,3,3,TRUE,TRUE
